2015-12-09 11:08:07,794 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ROOT:ROOT:0.0.1-SNAPSHOT @ /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/pom.xml.
2015-12-09 11:08:10,174 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:08:10,175 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/main/resources
2015-12-09 11:08:10,179 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:08:10,179 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/test/resources
2015-12-09 11:08:15,826 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:08:15,828 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/main/resources
2015-12-09 11:08:15,829 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:08:15,829 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/test/resources
2015-12-09 11:11:03,748 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-12-09 11:11:04,166 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ROOT:ROOT:0.0.1-SNAPSHOT @ /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/pom.xml.
2015-12-09 11:11:05,294 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ROOT/src
2015-12-09 11:11:05,295 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ROOT/src/test/java because it overlaps with /ROOT/src
2015-12-09 11:11:09,594 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ROOT
2015-12-09 11:11:09,609 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2015-12-09 11:11:18,918 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:11:18,919 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/main/resources
2015-12-09 11:11:18,920 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:11:18,922 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/test/resources
2015-12-09 11:11:18,923 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ROOT
2015-12-09 11:11:18,924 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ROOT
2015-12-09 11:11:18,943 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:30:19,058 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:30:19,068 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/main/resources
2015-12-09 11:30:19,071 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:30:19,072 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/test/resources
2015-12-09 11:30:20,798 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:30:20,799 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/main/resources
2015-12-09 11:30:20,801 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:30:20,801 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/test/resources
2015-12-09 11:34:00,908 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:34:00,913 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/main/resources
2015-12-09 11:34:00,916 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 11:34:00,917 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Joshua/Dropbox/project/Ezer_Admin/ROOT/src/test/resources
